iter	RMSE
0	89674.62691
1	86875.6008
2	84303.55909
3	81950.28494
4	79649.1099
5	77495.76396
6	75410.10769
7	73487.34724
8	71674.85762
9	69969.18327
10	68364.61494
11	66876.20259
12	65420.91454
13	64108.94242
14	62945.01813
15	61787.64745
16	60767.82969
17	59794.44454
18	58770.70404
19	57848.40682
20	57035.90535
21	56268.60374
22	55555.82817
23	54786.27157
24	54110.08579
25	53540.89785
26	52944.25087
27	52374.47742
28	51874.49246
29	51345.34056
30	50853.54925
31	50394.06429
32	49999.78809
33	49545.41004
34	49126.03029
35	48781.07619
36	48415.15975
37	48081.14358
38	47777.38243
39	47466.33218
40	47196.10768
41	46933.46698
42	46695.45387
43	46384.16048
44	46156.34584
45	45957.5716
46	45762.40794
47	45561.68889
48	45383.51288
49	45204.85518
50	44947.22629
51	44787.34441
52	44631.39289
53	44457.30402
54	44312.7584
55	44158.88435
56	44029.18404
57	43916.27865
58	43757.88799
59	43659.79347
60	43532.40447
61	43421.40882
62	43286.03734
63	43144.97616
64	43028.29024
65	42939.5934
66	42802.9438
67	42704.22563
68	42605.86996
69	42506.35511
70	42417.05419
71	42299.3518
72	42170.68851
73	42082.7539
74	41971.3098
75	41907.29369
76	41810.25059
77	41691.68321
78	41612.15752
79	41552.15725
80	41453.80957
81	41403.19769
82	41326.64462
83	41240.46424
84	41153.75836
85	41080.60847
86	41016.65169
87	40961.58434
88	40901.8414
89	40820.21076
90	40742.45273
91	40664.02646
92	40532.44751
93	40481.54271
94	40397.37047
95	40319.42885
96	40278.5927
97	40247.50505
98	40182.42832
99	40025.35692
100	39971.90734
101	39919.68523
102	39862.00334
103	39771.03981
104	39703.46416
105	39629.35957
106	39563.861
107	39522.59302
108	39456.58252
109	39417.39617
110	39363.52559
111	39298.97245
112	39213.46025
113	39172.04473
114	39120.88102
115	39061.46054
116	39017.00741
117	38947.6644
118	38890.7317
119	38814.59787
120	38772.43729
121	38704.00314
122	38652.33514
123	38591.21069
124	38537.88977
125	38513.54436
126	38467.89942
127	38365.8074
128	38329.30333
129	38273.86364
130	38232.34215
131	38173.12074
132	38129.10344
133	38110.33948
134	38063.33182
135	37975.19398
136	37870.47949
137	37839.99403
138	37778.94029
139	37759.66894
140	37736.06862
141	37686.42991
142	37670.28524
143	37641.09167
144	37618.59923
145	37586.74723
146	37545.46044
147	37483.93066
148	37459.97615
149	37362.73699
150	37321.858
151	37259.72152
152	37232.51415
153	37193.56005
154	37121.54674
155	37086.76686
156	37003.85294
157	36942.76679
158	36915.57158
159	36868.52309
160	36830.93767
161	36782.52921
162	36750.12062
163	36711.66153
164	36662.46696
165	36624.1288
166	36606.03663
167	36537.23412
168	36508.78371
169	36465.40466
170	36419.41699
171	36341.09661
172	36243.15014
173	36207.77843
174	36161.12369
175	36139.84006
176	36074.02187
177	36037.91843
178	36004.1283
179	35974.54108
180	35935.37511
181	35879.60224
182	35836.17181
183	35794.48393
184	35764.5474
185	35691.44634
186	35627.00608
187	35573.80454
188	35516.41495
189	35466.86254
190	35413.98906
191	35382.50247
192	35357.23867
193	35309.00052
194	35243.57533
195	35190.88491
196	35139.86453
197	35109.22032
198	35063.59716
199	35028.82512
200	34986.71065
201	34956.60463
202	34927.62
203	34868.81383
204	34841.85617
205	34793.54134
206	34744.8264
207	34693.05476
208	34638.21604
209	34609.18877
210	34561.94963
211	34517.36536
212	34470.97348
213	34420.24751
214	34377.45511
215	34341.36949
216	34263.74965
217	34203.98848
218	34154.67569
219	34106.28697
220	34063.00286
221	34033.88763
222	33990.46746
223	33949.71638
224	33902.46406
225	33873.17706
226	33847.97551
227	33801.82689
228	33736.87577
229	33693.69475
230	33646.58434
231	33620.52179
232	33576.60735
233	33544.54992
234	33508.92373
235	33469.35299
236	33449.04626
237	33380.49194
238	33342.48807
239	33302.81757
240	33236.88708
241	33208.50125
242	33178.42732
243	33133.21635
244	33097.97786
245	33066.72484
246	33046.33527
247	32986.64869
248	32955.56014
249	32895.72099
250	32855.20624
251	32822.70297
252	32764.30539
253	32726.01619
254	32687.06848
255	32636.75396
256	32586.32719
257	32534.47905
258	32491.68899
259	32466.91084
260	32446.20747
261	32393.71174
262	32358.87579
263	32333.36563
264	32292.4651
265	32254.36617
266	32225.46317
267	32166.90787
268	32110.78037
269	32053.6189
270	32002.33218
271	31969.36727
272	31924.37525
273	31894.98238
274	31868.34656
275	31849.18781
276	31806.4128
277	31767.83818
278	31718.21296
279	31681.69003
280	31651.19177
281	31609.97322
282	31576.97125
283	31546.25971
284	31513.98543
285	31477.68404
286	31445.48755
287	31400.32314
288	31348.32184
289	31316.90337
290	31279.87198
291	31235.20344
292	31209.33784
293	31184.29925
294	31157.08313
295	31121.51078
296	31103.30138
297	31069.59113
298	31037.99799
299	31008.08802
300	30973.3259
301	30947.0663
302	30900.86427
303	30876.23855
304	30846.29072
305	30826.27572
306	30799.08423
307	30744.90751
308	30731.88385
309	30707.15272
310	30685.40941
311	30659.33985
312	30627.31396
313	30575.60555
314	30536.1585
315	30519.1261
316	30483.49084
317	30457.95663
318	30406.42802
319	30386.44236
320	30364.15084
321	30312.59222
322	30278.25841
323	30248.19922
324	30195.22293
325	30170.29388
326	30145.60896
327	30090.61714
328	30056.43916
329	30007.37359
330	29961.82724
331	29933.36563
332	29900.62227
333	29873.88471
334	29840.2664
335	29804.24913
336	29780.71006
337	29759.45274
338	29737.33949
339	29711.25253
340	29669.3922
341	29645.32236
342	29608.20067
343	29586.17604
344	29544.40316
345	29510.70372
346	29482.67584
347	29425.61335
348	29385.97151
349	29359.65504
350	29322.36707
351	29293.41392
352	29272.16718
353	29254.43775
354	29224.45482
355	29206.64342
356	29172.18961
357	29144.71676
358	29117.86497
359	29095.43324
360	29055.5815
361	29037.30397
362	29009.13125
363	28992.05671
364	28943.57269
365	28918.40944
366	28904.14643
367	28864.74655
368	28839.11577
369	28801.57848
370	28782.56154
371	28743.05314
372	28713.45204
373	28664.40099
374	28622.24285
375	28610.06527
376	28582.52956
377	28554.0923
378	28535.06977
379	28519.00028
380	28478.65806
381	28461.15331
382	28427.62886
383	28406.48293
384	28378.17645
385	28359.71395
386	28343.81196
387	28315.83432
388	28298.06858
389	28283.41948
390	28271.48126
391	28238.3559
392	28215.50868
393	28183.76476
394	28152.86536
395	28123.23875
396	28095.62889
397	28078.5425
398	28065.11689
399	28041.5601
400	28027.08085
401	28004.49507
402	27967.26065
403	27939.24596
404	27921.10499
405	27885.60153
406	27860.85564
407	27843.71938
408	27823.02928
409	27805.07782
410	27783.14708
411	27761.80174
412	27735.69452
413	27707.57912
414	27688.73198
415	27655.0882
416	27625.59706
417	27603.50718
418	27569.45066
419	27539.11261
420	27499.50883
421	27487.13167
422	27475.68295
423	27426.2385
424	27400.08292
425	27363.68483
426	27344.26867
427	27308.85182
428	27290.65383
429	27270.4986
430	27247.95011
431	27224.48155
432	27204.01651
433	27182.73461
434	27164.22331
435	27128.23179
436	27106.47443
437	27080.6001
438	27042.04362
439	27028.06214
440	27003.75449
441	26976.94371
442	26946.19633
443	26927.66569
444	26895.63736
445	26861.46305
446	26841.38125
447	26818.54434
448	26801.79011
449	26770.03202
450	26746.98726
451	26714.4698
452	26697.14099
453	26673.25207
454	26641.83274
455	26631.05202
456	26610.02359
457	26586.29272
458	26571.47509
459	26558.72856
460	26535.82234
461	26510.84797
462	26493.02438
463	26463.14735
464	26446.00342
465	26419.50003
466	26395.6317
467	26374.04778
468	26343.004
469	26326.95239
470	26314.26578
471	26283.92154
472	26249.75558
473	26218.777
474	26199.76008
475	26179.83131
476	26159.55858
477	26127.69207
478	26114.48097
479	26085.75196
480	26064.99101
481	26047.65801
482	26031.31501
483	26008.0635
484	25982.00857
485	25965.64894
486	25933.33264
487	25912.82031
488	25876.30933
489	25844.53195
490	25821.57131
491	25795.70142
492	25774.65203
493	25755.33046
494	25738.77113
495	25705.81612
496	25675.80325
497	25653.00654
498	25629.93566
499	25617.46307
500	25598.70454
501	25571.27419
502	25547.40994
503	25521.45104
504	25497.81637
505	25461.87177
506	25443.39035
507	25434.69034
508	25421.33913
509	25406.92753
510	25394.06025
511	25376.76823
512	25362.04772
513	25333.13859
514	25318.9591
515	25303.45403
516	25274.94761
517	25249.47242
518	25234.44182
519	25214.76731
520	25196.73299
521	25178.61103
522	25150.30182
523	25130.94499
524	25108.05612
525	25079.05663
526	25054.60701
527	25043.36274
528	25027.51165
529	25012.37664
530	24995.62557
531	24986.6132
532	24965.14086
533	24951.06246
534	24935.18981
535	24920.76968
536	24910.54024
537	24882.02603
538	24870.69329
539	24851.69729
540	24826.46065
541	24809.46016
542	24791.96667
543	24783.96434
544	24766.40422
545	24747.55192
546	24718.8934
547	24688.82429
548	24665.93933
549	24651.67795
550	24627.54749
551	24619.63406
552	24600.80884
553	24585.05147
554	24567.17873
555	24551.29474
556	24537.49976
557	24525.88437
558	24494.75894
559	24479.17995
560	24452.35091
561	24435.54156
562	24418.40681
563	24399.75644
564	24380.02622
565	24352.86692
566	24326.38648
567	24311.44399
568	24282.68688
569	24265.38427
570	24252.27551
571	24220.82047
572	24196.01648
573	24180.82181
574	24167.5925
575	24153.8066
576	24138.65511
577	24125.53235
578	24115.85533
579	24100.5436
580	24086.48344
581	24070.82943
582	24054.83073
583	24030.12758
584	24014.47663
585	24005.41507
586	23988.7673
587	23971.62026
588	23956.50937
589	23943.97769
590	23928.6454
591	23912.16034
592	23899.57828
593	23889.36366
594	23877.26967
595	23859.68388
596	23848.48987
597	23827.11381
598	23810.92492
599	23791.45059
600	23780.80287
601	23766.97245
602	23750.11772
603	23738.81453
604	23718.77784
605	23699.44568
606	23682.18711
607	23667.67209
608	23646.11809
609	23637.29067
610	23620.76721
611	23603.81298
612	23593.11874
613	23572.50955
614	23561.3895
615	23540.09736
616	23524.76693
617	23507.52776
618	23490.88332
619	23482.08198
620	23471.91144
621	23445.85839
622	23422.35628
623	23407.58962
624	23384.9767
625	23368.9882
626	23345.61213
627	23321.9256
628	23300.91948
629	23285.70049
630	23274.13955
631	23261.51429
632	23246.23607
633	23239.88197
634	23230.21982
635	23207.87134
636	23199.98952
637	23186.47958
638	23164.61983
639	23152.07559
640	23131.74275
641	23117.00764
642	23109.49979
643	23092.52246
644	23079.69053
645	23063.46255
646	23045.06978
647	23038.07697
648	23009.35196
649	22997.28566
