iter	Passed	Remaining
0	3	3559
1	7	3645
2	11	3530
3	14	3493
4	18	3581
5	24	3953
6	29	3991
7	33	4015
8	40	4257
9	43	4123
10	46	4044
11	50	3980
12	56	4115
13	60	4100
14	65	4149
15	69	4117
16	73	4058
17	76	4009
18	79	3958
19	83	3912
20	86	3886
21	90	3846
22	93	3806
23	97	3788
24	100	3753
25	104	3771
26	110	3831
27	114	3808
28	118	3807
29	122	3810
30	126	3789
31	129	3763
32	134	3790
33	138	3770
34	142	3777
35	147	3795
36	151	3780
37	154	3759
38	158	3743
39	161	3719
40	165	3717
41	169	3708
42	173	3698
43	177	3701
44	181	3694
45	185	3691
46	189	3687
47	193	3676
48	197	3663
49	200	3646
50	203	3630
51	206	3612
52	210	3596
53	215	3611
54	219	3612
55	223	3600
56	226	3585
57	230	3577
58	233	3570
59	237	3556
60	240	3539
61	243	3531
62	249	3546
63	252	3541
64	256	3526
65	259	3514
66	263	3508
67	266	3495
68	269	3483
69	272	3469
70	276	3462
71	279	3449
72	282	3436
73	285	3423
74	289	3412
75	293	3415
76	297	3412
77	301	3404
78	304	3394
79	308	3395
80	312	3386
81	315	3376
82	319	3372
83	323	3372
84	327	3370
85	332	3374
86	336	3372
87	340	3378
88	344	3375
89	349	3375
90	353	3378
91	358	3381
92	362	3379
93	367	3388
94	372	3393
95	376	3389
96	380	3383
97	383	3372
98	387	3372
99	391	3364
100	394	3355
101	397	3345
102	403	3355
103	407	3350
104	411	3347
105	415	3350
106	419	3344
107	423	3339
108	427	3335
109	431	3335
110	438	3350
111	441	3344
112	445	3339
113	449	3336
114	453	3330
115	457	3325
116	460	3319
117	464	3311
118	467	3305
119	471	3297
120	474	3290
121	477	3282
122	482	3284
123	486	3280
124	490	3278
125	493	3269
126	497	3263
127	500	3255
128	504	3247
129	507	3239
130	510	3230
131	514	3227
132	518	3223
133	522	3219
134	525	3213
135	530	3212
136	533	3207
137	537	3200
138	540	3194
139	545	3192
140	549	3189
141	554	3192
142	557	3186
143	561	3179
144	564	3173
145	568	3169
146	571	3163
147	575	3158
148	579	3151
149	582	3144
150	585	3137
151	589	3132
152	594	3137
153	598	3132
154	602	3128
155	605	3122
156	609	3116
157	613	3111
158	616	3106
159	619	3099
160	623	3095
161	627	3092
162	631	3087
163	635	3085
164	639	3082
165	643	3076
166	646	3069
167	649	3063
168	653	3058
169	656	3052
170	659	3044
171	663	3039
172	666	3032
173	670	3030
174	674	3024
175	677	3017
176	681	3012
177	684	3007
178	688	3003
179	691	2998
180	695	2992
181	698	2986
182	704	2990
183	707	2985
184	711	2979
185	714	2973
186	718	2969
187	721	2964
188	724	2957
189	728	2951
190	731	2944
191	735	2943
192	739	2940
193	743	2936
194	746	2930
195	750	2926
196	754	2921
197	757	2915
198	760	2910
199	764	2904
200	767	2899
201	770	2893
202	774	2889
203	778	2883
204	784	2888
205	788	2884
206	791	2879
207	794	2873
208	798	2868
209	801	2864
210	805	2859
211	809	2855
212	813	2854
213	819	2856
214	823	2853
215	827	2849
216	830	2845
217	834	2839
218	837	2835
219	841	2828
220	845	2826
221	848	2820
222	851	2814
223	855	2809
224	858	2804
225	862	2799
226	865	2794
227	869	2790
228	872	2784
229	876	2782
230	880	2778
231	884	2776
232	888	2772
233	892	2768
234	896	2766
235	900	2762
236	904	2760
237	908	2755
238	912	2751
239	915	2746
240	919	2743
241	923	2740
242	928	2739
243	933	2738
244	936	2733
245	942	2734
246	945	2729
247	949	2724
248	952	2719
249	956	2715
250	959	2710
251	962	2704
252	966	2701
253	972	2702
254	975	2697
255	979	2693
256	984	2692
257	988	2689
258	992	2685
259	995	2681
260	999	2676
261	1005	2678
262	1009	2674
263	1012	2670
264	1016	2666
265	1020	2662
266	1023	2657
267	1027	2652
268	1030	2647
269	1034	2643
270	1037	2638
271	1041	2633
272	1044	2628
273	1047	2623
274	1054	2626
275	1057	2621
276	1062	2618
277	1065	2614
278	1069	2610
279	1073	2607
280	1076	2602
281	1080	2596
282	1086	2598
283	1090	2594
284	1095	2593
285	1098	2588
286	1101	2584
287	1105	2578
288	1108	2574
289	1111	2568
290	1119	2574
291	1123	2571
292	1127	2565
293	1130	2561
294	1134	2558
295	1138	2552
296	1141	2547
297	1144	2542
298	1148	2539
299	1151	2534
300	1155	2529
301	1158	2523
302	1161	2518
303	1166	2516
304	1169	2512
305	1173	2509
306	1177	2504
307	1181	2500
308	1184	2495
309	1188	2491
310	1191	2486
311	1195	2483
312	1199	2479
313	1203	2475
314	1206	2470
315	1210	2466
316	1213	2462
317	1217	2457
318	1221	2453
319	1224	2448
320	1227	2444
321	1231	2439
322	1235	2435
323	1238	2430
324	1243	2429
325	1247	2425
326	1250	2420
327	1253	2416
328	1257	2411
329	1261	2407
330	1264	2403
331	1268	2398
332	1271	2393
333	1279	2398
334	1283	2394
335	1286	2389
336	1292	2388
337	1296	2385
338	1300	2382
339	1304	2377
340	1313	2383
341	1317	2379
342	1320	2375
343	1325	2372
344	1328	2368
345	1331	2363
346	1335	2358
347	1339	2355
348	1342	2350
349	1346	2346
350	1349	2341
351	1352	2336
352	1357	2334
353	1361	2330
354	1364	2325
355	1367	2320
356	1371	2317
357	1375	2313
358	1379	2308
359	1382	2303
360	1387	2302
361	1391	2298
362	1394	2293
363	1397	2288
364	1402	2286
365	1406	2282
366	1409	2277
367	1413	2273
368	1416	2269
369	1420	2264
370	1423	2259
371	1427	2255
372	1430	2250
373	1435	2249
374	1439	2245
375	1442	2240
376	1445	2236
377	1450	2232
378	1453	2228
379	1457	2225
380	1460	2220
381	1465	2217
382	1469	2213
383	1474	2211
384	1477	2206
385	1480	2201
386	1484	2197
387	1487	2193
388	1490	2188
389	1494	2183
390	1498	2181
391	1502	2177
392	1506	2173
393	1509	2168
394	1514	2166
395	1518	2162
396	1521	2157
397	1524	2152
398	1528	2148
399	1531	2144
400	1534	2139
401	1538	2134
402	1541	2130
403	1546	2128
404	1549	2123
405	1553	2120
406	1557	2115
407	1561	2111
408	1564	2108
409	1568	2103
410	1571	2099
411	1574	2094
412	1579	2092
413	1583	2088
414	1586	2084
415	1590	2079
416	1594	2075
417	1597	2071
418	1600	2066
419	1604	2062
420	1607	2058
421	1611	2054
422	1614	2050
423	1618	2045
424	1621	2041
425	1625	2037
426	1628	2033
427	1633	2030
428	1637	2026
429	1640	2022
430	1644	2018
431	1647	2014
432	1651	2009
433	1655	2005
434	1658	2001
435	1663	1999
436	1666	1994
437	1670	1990
438	1673	1985
439	1677	1981
440	1681	1978
441	1684	1974
442	1696	1979
443	1699	1975
444	1704	1972
445	1708	1969
446	1712	1965
447	1716	1961
448	1719	1957
449	1722	1952
450	1725	1947
451	1729	1943
452	1732	1938
453	1738	1937
454	1741	1933
455	1745	1928
456	1748	1924
457	1752	1920
458	1755	1916
459	1759	1912
460	1762	1908
461	1768	1906
462	1771	1901
463	1775	1897
464	1778	1893
465	1785	1892
466	1789	1888
467	1792	1884
468	1795	1880
469	1799	1875
470	1802	1871
471	1805	1867
472	1809	1862
473	1813	1858
474	1817	1856
475	1822	1853
476	1826	1848
477	1829	1845
478	1833	1841
479	1836	1836
480	1839	1832
481	1843	1827
482	1847	1824
483	1852	1822
484	1857	1819
485	1862	1816
486	1866	1812
487	1873	1812
488	1886	1817
489	1890	1813
490	1901	1815
491	1905	1812
492	1910	1809
493	1913	1805
494	1917	1801
495	1920	1797
496	1928	1796
497	1931	1791
498	1935	1788
499	1938	1783
500	1942	1779
501	1946	1775
502	1950	1772
503	1953	1767
504	1958	1764
505	1962	1760
506	1968	1758
507	1972	1755
508	1977	1752
509	1981	1748
510	1984	1743
511	1987	1739
512	1991	1735
513	1994	1730
514	1997	1726
515	2001	1722
516	2005	1718
517	2009	1714
518	2013	1710
519	2016	1706
520	2019	1702
521	2023	1697
522	2026	1693
523	2030	1689
524	2033	1684
525	2037	1681
526	2041	1677
527	2045	1673
528	2049	1669
529	2053	1665
530	2056	1661
531	2060	1657
532	2063	1653
533	2068	1650
534	2072	1646
535	2076	1642
536	2079	1637
537	2083	1633
538	2087	1630
539	2090	1626
540	2094	1621
541	2097	1617
542	2101	1613
543	2104	1609
544	2107	1604
545	2110	1600
546	2122	1602
547	2126	1598
548	2133	1597
549	2137	1593
550	2141	1589
551	2144	1584
552	2148	1581
553	2152	1577
554	2156	1573
555	2159	1569
556	2164	1565
557	2167	1561
558	2170	1557
559	2174	1552
560	2177	1548
561	2181	1544
562	2184	1540
563	2187	1536
564	2191	1531
565	2198	1530
566	2203	1527
567	2206	1523
568	2210	1518
569	2213	1514
570	2217	1510
571	2220	1506
572	2224	1502
573	2228	1498
574	2232	1494
575	2236	1491
576	2240	1487
577	2244	1483
578	2248	1479
579	2251	1474
580	2254	1470
581	2257	1466
582	2261	1462
583	2265	1458
584	2269	1454
585	2272	1450
586	2276	1446
587	2279	1442
588	2283	1438
589	2286	1433
590	2289	1429
591	2292	1425
592	2296	1421
593	2299	1416
594	2302	1412
595	2307	1409
596	2310	1405
597	2315	1401
598	2318	1397
599	2322	1393
600	2328	1391
601	2332	1386
602	2336	1383
603	2340	1379
604	2344	1375
605	2348	1371
606	2351	1367
607	2355	1363
608	2358	1359
609	2362	1355
610	2366	1351
611	2370	1347
612	2374	1343
613	2377	1339
614	2380	1335
615	2385	1332
616	2389	1328
617	2393	1324
618	2396	1320
619	2400	1316
620	2403	1312
621	2407	1308
622	2410	1303
623	2413	1299
624	2418	1296
625	2422	1292
626	2426	1288
627	2429	1284
628	2433	1280
629	2437	1276
630	2440	1272
631	2444	1268
632	2447	1264
633	2451	1260
